0,Nationality,Player,OVR,POS,BIN,PAC,SHO,PAS,DRI,DEF,PHY,S/M,W/F,W/Rs,Foot,Stats
0,Nationality,Player,OVR,POS,BIN,PAC,SHO,PAS,DRI,DEF,PHY,S/M,W/F,W/Rs,Foot,Stats
1,,Kevin De Bruyne Manchester City | ENG 1,99,CM CAM,,PAC 88,SHO 95,PAS 99,DRI 97,DEF 91,PHY 99,5,5,H/H,Right,2644
2,,Pele Icons | ICO,99,LW RM LM RW,8.9M,PAC 96,SHO 97,PAS 94,DRI 99,DEF 61,PHY 78,5,5,H/M,Right,2458
3,,Leon Goretzka FC Bayern Munchen | GER 1,98,CM CDM,,PAC 93,SHO 93,PAS 95,DRI 94,DEF 93,PHY 98,4,5,H/H,Right,2594
4,,Kevin De Bruyne Manchester City | ENG 1,98,CM CAM,6.9M,PAC 86,SHO 94,PAS 99,DRI 96,DEF 87,PHY 88,4,5,H/H,Right,2541
5,,Thierry Henry  Icons | ICO,98,RW RM CAM,8.3M,PAC 98,SHO 95,PAS 93,DRI 98,DEF 70,PHY 86,5,5,H/M,Right,2491
6,,Garrincha Icons | ICO,98,ST CF,2.8M,PAC 94,SHO 98,PAS 90,DRI 98,DEF 46,PHY 84,5,4,H/M,Right,2371
7,,Virgil van Dijk Liverpool | ENG 1,98,CDM CM,4.8M,PAC 92,SHO 80,PAS 90,DRI 91,DEF 98,PHY 96,4,5,M/H,Right,2513
8,,Lionel Messi Paris SG | FRA 1,98,ST RM RW,2.1M,PAC 94,SHO 97,PAS 96,DRI 99,DEF 40,PHY 79,4,4,H/L,Left,2356
9,,Lionel Messi Paris SG | FRA 1,98,RW RM,2.2M,PAC 93,SHO 98,PAS 97,DRI 99,DEF 40,PHY 77,4,4,H/L,Left,2370
10,,Pele Icons | ICO,98,CAM CF ST,2.1M,PAC 95,SHO 96,PAS 93,DRI 96,DEF 60,PHY 76,5,4,H/M,Right,2415
11,,Raphael Varane Manchester Utd | ENG 1,97,CB,,PAC 93,SHO 62,PAS 77,DRI 86,DEF 98,PHY 96,2,5,M/H,Right,2258
12,,Bastian Schweinsteiger Icons | ICO,97,CB RB,1.7M,PAC 90,SHO 80,PAS 88,DRI 86,DEF 97,PHY 97,3,5,H/H,Right,2486
13,,Paul Pogba Juventus | ITA 1,97,ST RM CF RW,4.3M,PAC 95,SHO 97,PAS 91,DRI 95,DEF 67,PHY 95,5,5,H/L,Right,2498
14,,Anthony Martial Manchester Utd | ENG 1,97,CM RM,857K,PAC 93,SHO 86,PAS 98,DRI 97,DEF 88,PHY 96,4,5,H/H,Right,2590
15,,Ousmane Dembele FC Barcelona | ESP 1,97,CAM CM CF,5.4M,PAC 97,SHO 92,PAS 95,DRI 99,DEF 73,PHY 80,5,5,H/M,Left,2462
16,,Bruno Fernandes Manchester Utd | ENG 1,97,LW RM LM RW,1.8M,PAC 96,SHO 93,PAS 95,DRI 99,DEF 75,PHY 84,5,4,H/H,Right,2516
